"Sector","College","Type","County","zip code","Address","Latitude","Longitude","Georeferenced Latitude & Longitude","Sector and Type"
"State-Related Commonwealth University","Penn State York","Branch Campus","York","17403","1031 Edgecomb Ave, York, PA 17403","39.9519705","-76.7037591","POINT (-76.7037591 39.9519705)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Saint Francis University","Main Campus Location","Cambria","15940","132 Franciscan Way, Loretto, PA 15940","40.503084","-78.637101","POINT (-78.637101 40.503084)","Private College/University - Main Campus"
"Community College","CCAC-Braddock Hills","Off-Campus Operation","Allegheny","15221","250 Yost Boulevard, Braddock Hills, PA 15221","40.4141303","-79.850482","POINT (-79.850482 40.4141303)","Community College - Off-Campus"
"Private College/University","Curtis Institute of Music","Main Campus Location","Philadelphia","19103","1726 Locust St, Philadelphia, PA 19103","39.9488069","-75.1706054","POINT (-75.1706054 39.9488069)","Private College/University - Main Campus"
"Private College/University","Elizabethtown College","Main Campus Location","Lancaster","17022","1 Alpha Dr, Elizabethtown, PA 17022","40.1508131","-76.5906583","POINT (-76.5906583 40.1508131)","Private College/University - Main Campus"
"PASSHE","Millersville University of PA","Main Campus Location","Lancaster","17551","40 Dilworth Rd, Millersville, PA 17551","40.0003077","-76.3570509","POINT (-76.3570509 40.0003077)","PASSHE - Main Campus"
"Private College/University","Thiel College","Main Campus Location","Mercer","16125","75 College Ave, Greenville, PA 16125","41.4083844","-80.3841091","POINT (-80.3841091 41.4083844)","Private College/University - Main Campus"
"Community College","CCP-Advanced Technology Center","Off-Campus Operation","Philadelphia","19139","4750 Market Street, Philadelphia, PA 19139","39.9586559","-75.2167086","POINT (-75.2167086 39.9586559)","Community College - Off-Campus"
"Community College","HACC-Business Central","Off-Campus Operation","Cumberland","17013","14­20 N. Hanover Street Carlisle, PA  17013","40.2015825","-77.1891025","POINT (-77.1891025 40.2015825)","Community College - Off-Campus"
"Community College","Butler CC-Brockway","Off-Campus Operation","Jefferson","15824","1200 Wood Street, Brockway, PA 15824","41.250189","-78.789857","POINT (-78.789857 41.250189)","Community College - Off-Campus"
"Private College/University","Drexel University","Main Campus Location","Philadelphia","19104","3141 Chestnut St, Philadelphia, PA 19104","39.9569305","-75.1899265","POINT (-75.1899265 39.9569305)","Private College/University - Main Campus"
"Rural Regional College","NPRC-Saegertown","Off-Campus Operation","Crawford","16433",,,,,"Rural Regional College - Off-Campus"
"Community College","Delaware CC-Upper Darby","Off-Campus Operation","Delaware","19082","1570 Garrett Road, Upper Darby, PA 19082","39.9551741","-75.2739826","POINT (-75.2739826 39.9551741)","Community College - Off-Campus"
"PASSHE","Pennsylvania Western University-Clarion","Main Campus Location","Clarion","16214","840 Wood St, Clarion, PA 16214","41.2111645","-79.380399","POINT (-79.380399 41.2111645)","PASSHE - Main Campus"
"Private College/University","Johnson College - Hazleton","Off-Campus Operation","Luzerne","18202","370 Maplewood Dr, Hazle Township, PA 18202","40.92498455","-76.04019578","POINT (-76.04019578 40.92498455)","Private College/University - Off-Campus"
"State-Related Commonwealth University","Penn State Dubois","Branch Campus","Clearfield","15801","1 College Place, DuBois, PA 15801","41.1272706","-78.7514305","POINT (-78.7514305 41.1272706)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Reconstructionist Rabbinical College","Main Campus Location","Montgomery","19095","1299 Church Rd, Wyncote, PA 19095","40.0876739","-75.1494095","POINT (-75.1494095 40.0876739)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State University","Main Campus Location","Centre","16802","201 Old Main, University Park, Pennsylvania 16802","40.79643963","-77.86278919","POINT (-77.86278919 40.79643963)","State-Related Commonwealth University - Main Campus"
"Private College/University","Manor College","Main Campus Location","Montgomery","19046","700 Fox Chase Rd, Jenkintown, PA 19046","40.0881075","-75.1052795","POINT (-75.1052795 40.0881075)","Private College/University - Main Campus"
"Private College/University","Washington and Jefferson College","Main Campus Location","Washington","15301","60 S Lincoln St, Washington, PA 15301","40.1706148","-80.2410941","POINT (-80.2410941 40.1706148)","Private College/University - Main Campus"
"PASSHE","Indiana University of PA - Northpointe","Branch Campus","Armstrong","16229","167 Northpointe Blvd, Freeport, PA 16229","40.75634911","-79.64108441","POINT (-79.64108441 40.75634911)","PASSHE - Branch Campus"
"Community College","Westmoreland County Community College","Main Campus Location","Westmoreland","15697","145 Pavilion Lane, Youngwood, PA 15697","40.23421452","-79.5653849","POINT (-79.5653849 40.23421452)","Community College - Main Campus"
"Private College/University","Harcum College","Main Campus Location","Montgomery","19010","750 Montgomery Ave, Bryn Mawr, PA 19010","40.0215652","-75.3133409","POINT (-75.3133409 40.0215652)","Private College/University - Main Campus"
"Private College/University","Bucknell University","Main Campus Location","Union","17837","One Dent Dr, Lewisburg, PA 17837","40.95437241","-76.88404083","POINT (-76.88404083 40.95437241)","Private College/University - Main Campus"
"PASSHE","Commonwealth University-Lock Haven-Clearfield","Branch Campus","Clearfield","16830","201 University Dr, Clearfield, PA 16830","41.014801","-78.397967","POINT (-78.397967 41.014801)","PASSHE - Branch Campus"
"Private College/University","Lebanon Valley College","Main Campus Location","Lebanon","17003","101 College Ave, Annville, PA 17003","40.3323203","-76.5155151","POINT (-76.5155151 40.3323203)","Private College/University - Main Campus"
"State-Related Commonwealth University","University of Pittsburgh-Bradford","Branch Campus","McKean","16701","300 Campus Drive, Bradford, PA 16701","41.9447555","-78.6727152","POINT (-78.6727152 41.9447555)","State-Related Commonwealth University - Branch Campus"
"State-Related Commonwealth University","Lincoln University","Main Campus Location","Chester","19352","1570 Baltimore Pike, Lincoln University, PA 19352","39.8065518","-75.9287055","POINT (-75.9287055 39.8065518)","State-Related Commonwealth University - Main Campus"
"Rural Regional College","NPRC-Otto-Eldred","Off-Campus Operation","McKean","16729",,,,,"Rural Regional College - Off-Campus"
"Private College/University","University of the Arts (The)","Main Campus Location","Philadelphia","19102","20 S Broad St, Philadelphia, PA 19102","39.9514443","-75.163989","POINT (-75.163989 39.9514443)","Private College/University - Main Campus"
"Private College/University","La Roche University","Main Campus Location","Allegheny","15237","9000 Babcock Blvd, Pittsburgh, PA 15237","40.568182","-80.016497","POINT (-80.016497 40.568182)","Private College/University - Main Campus"
"Private College/University","Gettysburg College","Main Campus Location","Adams","17325","300 N Washington St, Gettysburg, PA 17325","39.833639","-77.2333325","POINT (-77.2333325 39.833639)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State Altoona","Branch Campus","Blair","16601","3000 Ivyside Park, Altoona, PA 16601","40.539898","-78.40984","POINT (-78.40984 40.539898)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Susquehanna University","Main Campus Location","Snyder","17870","514 University Ave, Selinsgrove, PA 17870","40.7975578","-76.8746089","POINT (-76.8746089 40.7975578)","Private College/University - Main Campus"
"Community College","Luzerne CC-Shamokin","Off-Campus Operation","Northumberland","17872","2 East Arch Street, Shamokin, PA 17872","40.7887714","-76.5554336","POINT (-76.5554336 40.7887714)","Community College - Off-Campus"
"Rural Regional College","NPRC-Austin","Off-Campus Operation","Potter","16720",,,,,"Rural Regional College - Off-Campus"
"Community College","Westmoreland CC-Advanced Technology Center","Off-Campus Operation","Westmoreland","15666","1001 #1009, Technology Dr, Mt Pleasant, PA 15666","40.18889129","-79.57894617","POINT (-79.57894617 40.18889129)","Community College - Off-Campus"
"Rural Regional College","NPRC-Galena","Off-Campus Operation","Venango","16323",,,,,"Rural Regional College - Off-Campus"
"Community College","Westmoreland CC-Latrobe","Off-Campus Operation","Westmoreland","15650","130 Depot Street, Latrobe, PA 15650","40.3160484","-79.386829","POINT (-79.386829 40.3160484)","Community College - Off-Campus"
"Private College/University","American College of Financial Services","Main Campus Location","Montgomery","19406","630 Allendale Rd #400, King of Prussia, PA 19406","40.10127697","-75.39462638","POINT (-75.39462638 40.10127697)","Private College/University - Main Campus"
"Private College/University","Immaculata University","Main Campus Location","Chester","19345","1145 West King Road, Immaculata Dr, PA 19345","40.02731","-75.566042","POINT (-75.566042 40.02731)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State Mont Alto","Branch Campus","Franklin","17237","1 Campus Drive, Mont Alto, PA 17237","39.839794","-77.5430358","POINT (-77.5430358 39.839794)","State-Related Commonwealth University - Branch Campus"
"PASSHE","Cheyney University of PA","Main Campus Location","Delaware","19319","1837 Township Dr, Cheyney, PA 19319","39.9335018","-75.5264427","POINT (-75.5264427 39.9335018)","PASSHE - Main Campus"
"State-Related Commonwealth University","Penn State Great Valley","Branch Campus","Chester","19355","30 East Swedesford Rd, Malvern, PA 19355","40.0529511","-75.5222463","POINT (-75.5222463 40.0529511)","State-Related Commonwealth University - Branch Campus"
"State-Related Commonwealth University","University of Pittsburgh-Greensburg","Branch Campus","Westmoreland","15601","150 Finoli Drive Greensburg, PA 15601","40.2756773","-79.5335498","POINT (-79.5335498 40.2756773)","State-Related Commonwealth University - Branch Campus"
"Private College/University","Lycoming College","Main Campus Location","Lycoming","17701","One College Pl, Williamsport, PA 17701","41.247163","-77.000287","POINT (-77.000287 41.247163)","Private College/University - Main Campus"
"Private College/University","Mount Aloysius College","Main Campus Location","Cambria","16630","7373 Admiral Peary Hwy, Cresson, PA 16630","40.4603475","-78.6005664","POINT (-78.6005664 40.4603475)","Private College/University - Main Campus"
"Private College/University","Seton Hill University","Main Campus Location","Westmoreland","15601","1 Seton Hill Dr, Greensburg, PA 15601","40.3084227","-79.5554867","POINT (-79.5554867 40.3084227)","Private College/University - Main Campus"
"Rural Regional College","NPRC-Union City","Off-Campus Operation","Erie","16438",,,,,"Rural Regional College - Off-Campus"
"Community College","Delaware CC-Southeast Center","Off-Campus Operation","Delaware","19074","2000 Elmwood Avenue, Sharon Hill, PA 19074","39.9050871","-75.2674851","POINT (-75.2674851 39.9050871)","Community College - Off-Campus"
"Private College/University","Gannon University","Main Campus Location","Erie","16541","109 University Square, Erie, PA 16541","42.1278545","-80.08899935","POINT (-80.08899935 42.1278545)","Private College/University - Main Campus"
"Private College/University","Carlow University","Main Campus Location","Allegheny","15213","3333 Fifth Ave, Pittsburgh, PA 15213","40.438763","-79.9636614","POINT (-79.9636614 40.438763)","Private College/University - Main Campus"
"Community College","Penn Highlands CC-Blair","Off-Campus Operation","Blair","16602","5580 Goods Ln, Altoona, PA 16602","40.467873","-78.409674","POINT (-78.409674 40.467873)","Community College - Off-Campus"
"Private College/University","Lafayette College","Main Campus Location","Northampton","18042","730 High St, Easton, PA 18042","40.6986835","-75.209246","POINT (-75.209246 40.6986835)","Private College/University - Main Campus"
"Community College","Delaware County Community College","Main Campus Location","Delaware","19063","901 South Media Line Road, Media, PA 19063","39.894819","-75.446372","POINT (-75.446372 39.894819)","Community College - Main Campus"
"Private College/University","Gratz College","Main Campus Location","Montgomery","19027","7605 Old York Rd, Melrose Park, PA 19027","40.0671232","-75.1339788","POINT (-75.1339788 40.0671232)","Private College/University - Main Campus"
"Private College/University","Swarthmore College","Main Campus Location","Delaware","19081","500 College Ave, Swarthmore, PA 19081","39.9036028","-75.3537373","POINT (-75.3537373 39.9036028)","Private College/University - Main Campus"
"Private College/University","Penn View Bible Institute","Main Campus Location","Snyder","17862","125 Penn View Dr, Penns Creek, PA 17862","40.8637848","-77.0605858","POINT (-77.0605858 40.8637848)","Private College/University - Main Campus"
"PASSHE","Pennsylvania Western University-Edinboro","Main Campus Location","Erie","16444","219 Meadville St, Edinboro, PA 16444","41.8727471","-80.1190111","POINT (-80.1190111 41.8727471)","PASSHE - Main Campus"
"Community College","Butler County Community College","Main Campus Location","Butler","16002","107 College Drive, Butler, PA 16002","40.8266823","-79.9150906","POINT (-79.9150906 40.8266823)","Community College - Main Campus"
"Private College/University","Neumann University","Main Campus Location","Delaware","19014","1 Neumann Dr, Aston, PA 19014","39.875563","-75.4404745","POINT (-75.4404745 39.875563)","Private College/University - Main Campus"
"Private College/University","Cedar Crest College","Main Campus Location","Lehigh","18104","100 College Dr, Allentown, PA 18104","40.585938","-75.513757","POINT (-75.513757 40.585938)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State Abington","Branch Campus","Bucks","19001","1600 Woodland Rd, Abington, PA 19001","40.11732","-75.112011","POINT (-75.112011 40.11732)","State-Related Commonwealth University - Branch Campus"
"Community College","Butler CC-Armstrong","Off-Campus Operation","Armstrong","16226","1104 4th Avenue, Ford City, PA 16226","40.772577","-79.529544","POINT (-79.529544 40.772577)","Community College - Off-Campus"
"Community College","HACC-Gettysburg","Branch Campus","Adams","17325","731 Old Harrisburg Road, Gettysburg, PA 17325","39.8389452","-77.2237064","POINT (-77.2237064 39.8389452)","Community College - Branch Campus"
"State-Related Commonwealth University","Penn State Wilkes-Barre","Branch Campus","Luzerne","18612","44 University Drive, Dallas, Pennsylvania 18612","41.329525","-75.963533","POINT (-75.963533 41.329525)","State-Related Commonwealth University - Branch Campus"
"Rural Regional College","NPRC-Potter CEC","Off-Campus Operation","Potter","16915",,,,,"Rural Regional College - Off-Campus"
"Community College","Community College of Philadelphia","Main Campus Location","Philadelphia","19130","1700 Spring Garden Street, Philadelphia, PA 19130","39.9618483","-75.1665244","POINT (-75.1665244 39.9618483)","Community College - Main Campus"
"Private College/University","Widener University / Main","Main Campus Location","Delaware","19013","One University Pl, Chester, PA 19013","39.939381","-75.256879","POINT (-75.256879 39.939381)","Private College/University - Main Campus"
"Community College","Lehigh Carbon Community College","Main Campus Location","Lehigh","18078","4525 Education Park Drive Schnecksville, PA. 18078","40.6622312","-75.6103906","POINT (-75.6103906 40.6622312)","Community College - Main Campus"
"Private College/University","Juniata College","Main Campus Location","Huntingdon","16652","1700 Moore St, Huntingdon, PA 16652","40.4989385","-78.0175327","POINT (-78.0175327 40.4989385)","Private College/University - Main Campus"
"College of Technology","Thaddeus Stevens College of Technology","Main Campus Location","Lancaster","17602","750 E King St, Lancaster, PA 17602","40.0376855","-76.2893736","POINT (-76.2893736 40.0376855)","College of Technology - Main Campus"
"Private College/University","Walnut Hill College","Main Campus Location","Philadelphia","19104","4207 Walnut St, Philadelphia, PA 19104","39.9547004","-75.2066646","POINT (-75.2066646 39.9547004)","Private College/University - Main Campus"
"Community College","Luzerne CC-Berwick","Off-Campus Operation","Columbia","18603","107 South Market Street, Berwick, PA 18603","41.0541925","-76.2327842","POINT (-76.2327842 41.0541925)","Community College - Off-Campus"
"PASSHE","Commonwealth University-Mansfield","Main Campus Location","Tioga","16933","31 S Academy St, Mansfield, PA 16933","41.804302","-77.069778","POINT (-77.069778 41.804302)","PASSHE - Main Campus"
"Community College","CCAC-West Hills","Off-Campus Operation","Allegheny","15071","1000 McKee Road, Oakdale, PA 15071","40.4370898","-80.1933713","POINT (-80.1933713 40.4370898)","Community College - Off-Campus"
"State-Related Commonwealth University","Penn State Brandywine","Branch Campus","Delaware","19063","25 Yearsley Mill Rd, Media, PA 19063","39.9285813","-75.4478152","POINT (-75.4478152 39.9285813)","State-Related Commonwealth University - Branch Campus"
"Community College","Reading Area Community College","Main Campus Location","Berks","19602","10 South Second Street, Reading, PA 19602","40.33458711","-75.93448658","POINT (-75.93448658 40.33458711)","Community College - Main Campus"
"Private College/University","Duquesne University","Main Campus Location","Allegheny","15282","600 Forbes Ave, Pittsburgh, PA 15282","40.437947","-79.994009","POINT (-79.994009 40.437947)","Private College/University - Main Campus"
"Private College/University","Marywood University","Main Campus Location","Lackawanna","18509","2300 Adams Ave, Scranton, PA 18509","41.4334013","-75.6372468","POINT (-75.6372468 41.4334013)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State Shenango","Branch Campus","Mercer","16146","147 Shenango Ave, Sharon, PA 16146","41.2356125","-80.5085678","POINT (-80.5085678 41.2356125)","State-Related Commonwealth University - Branch Campus"
"Rural Regional College","NPRC-Marilyn Horne","Off-Campus Operation","McKean","16701",,,,,"Rural Regional College - Off-Campus"
"Community College","CCAC-Homewood-Brushton","Off-Campus Operation","Allegheny","15208","701 North Homewood Ave, Pittsburgh, PA 15208","40.455668","-79.897081","POINT (-79.897081 40.455668)","Community College - Off-Campus"
"Community College","Bucks CC-Lower Bucks","Branch Campus","Bucks","19007","1304 Veterans Highway, Bristol, PA 19007","40.1098016","-74.8782179","POINT (-74.8782179 40.1098016)","Community College - Branch Campus"
"Community College","HACC-York","Branch Campus","York","17404","2010 Pennsylvania Ave., York, PA 17404","39.983983","-76.7454265","POINT (-76.7454265 39.983983)","Community College - Branch Campus"
"Private College/University","Misericordia University","Main Campus Location","Luzerne","18612","301 Lake Street, Dallas, PA 18612","41.348547","-75.979186","POINT (-75.979186 41.348547)","Private College/University - Main Campus"
"Private College/University","Eastern University","Main Campus Location","Delaware","19087","1300 Eagle Rd, St Davids, PA 19087","40.0542387","-75.3678201","POINT (-75.3678201 40.0542387)","Private College/University - Main Campus"
"State-Related Commonwealth University","University of Pittsburgh","Main Campus Location","Allegheny","15260","4200 Fifth Ave. Pittsburgh, PA 15260","40.444153","-79.962461","POINT (-79.962461 40.444153)","State-Related Commonwealth University - Main Campus"
"PASSHE","Indiana University of PA - Punxsutawney","Branch Campus","Jefferson","15767","1012 Winslow St, Punxsutawney, PA 15767","40.944223","-78.989388","POINT (-78.989388 40.944223)","PASSHE - Branch Campus"
"Private College/University","University of Valley Forge of the Assemblies of God","Main Campus Location","Chester","19460","1401 Charlestown Road, Phoenixville, PA 19460","40.1191424","-75.5503704","POINT (-75.5503704 40.1191424)","Private College/University - Main Campus"
"Community College","Penn Highlands CC-Ebensburg","Off-Campus Operation","Cambria","15931","881 Hills Plaza, Ebensburg, PA 15931","40.469164","-78.759152","POINT (-78.759152 40.469164)","Community College - Off-Campus"
"Private College/University","Clarks Summit University","Main Campus Location","Lackawanna","18411","538 Venard Rd, Clarks Summit, PA 18411","41.4950785","-75.6854685","POINT (-75.6854685 41.4950785)","Private College/University - Main Campus"
"State-Related Commonwealth University","Penn State New Kensington","Branch Campus","Westmoreland","15068","3550 7th Street Rd, New Kensington, PA 15068","40.5614964","-79.7455698","POINT (-79.7455698 40.5614964)","State-Related Commonwealth University - Branch Campus"
"Rural Regional College","NPRC-Warren/Forest CEC","Off-Campus Operation","Warren","16365",,,,,"Rural Regional College - Off-Campus"
"Community College","CCP-West","Off-Campus Operation","Philadelphia","19139","4725 Chestnut Street, Philadelphia PA 19139","39.9578373","-75.2165951","POINT (-75.2165951 39.9578373)","Community College - Off-Campus"
"Private College/University","Delaware Valley University","Main Campus Location","Bucks","18901","700 E Butler Ave, Doylestown, PA 18901","40.299981","-75.164744","POINT (-75.164744 40.299981)","Private College/University - Main Campus"
"Private College/University","Rosemont College","Main Campus Location","Montgomery","19010","1400 Montgomery Ave, Bryn Mawr, PA 19010","40.0339415","-75.3293406","POINT (-75.3293406 40.0339415)","Private College/University - Main Campus"
"Private College/University","Philadelphia College of Osteopathic Medicine","Main Campus Location","Philadelphia","19131","4170 City Ave, Philadelphia, PA 19131","40.0043143","-75.2148755","POINT (-75.2148755 40.0043143)","Private College/University - Main Campus"
"Private College/University","Carnegie Mellon University","Main Campus Location","Allegheny","15213","5000 Forbes Ave, Pittsburgh, PA 15213","40.4442309","-79.9433716","POINT (-79.9433716 40.4442309)","Private College/University - Main Campus"
"State-Related Commonwealth University","University of Pittsburgh-Johnstown","Branch Campus","Cambria","15904","450 Schoolhouse Road Johnstown, PA 15904","40.2669023","-78.8233146","POINT (-78.8233146 40.2669023)","State-Related Commonwealth University - Branch Campus"
"Community College","Luzerne CC-Scranton","Off-Campus Operation","Lackawanna","18503","300 Lackawanna Avenue, Scranton, PA 18503","41.4077779","-75.6679283","POINT (-75.6679283 41.4077779)","Community College - Off-Campus"
"Private College/University","Arcadia University","Main Campus Location","Montgomery","19038","450 S Easton Rd, Glenside, PA 19038","40.0917501","-75.1651151","POINT (-75.1651151 40.0917501)","Private College/University - Main Campus"
"Community College","NCC-Monroe","Branch Campus","Monroe","18372","2411 Route 715, Tannersville, PA 18372","41.03669121","-75.32682677","POINT (-75.32682677 41.03669121)","Community College - Branch Campus"
"Rural Regional College","NPRC-Galeton","Off-Campus Operation","Potter","16922",,,,,"Rural Regional College - Off-Campus"
"Private College/University","Holy Family University","Main Campus Location","Philadelphia","19114","9801 Frankford Ave, Philadelphia, PA 19114","40.061646","-74.988197","POINT (-74.988197 40.061646)","Private College/University - Main Campus"
"PASSHE","Shippensburg University of Pennsylvania","Main Campus Location","Cumberland","17257","1871 Old Main Dr, Shippensburg, PA 17257","40.0573716","-77.5223931","POINT (-77.5223931 40.0573716)","PASSHE - Main Campus"
"Private College/University","Lackawanna College","Main Campus Location","Lackawanna","18509","501 Vine Street, Scranton, PA 18509","41.4117636","-75.6586757","POINT (-75.6586757 41.4117636)","Private College/University - Main Campus"
"Rural Regional College","NPRC-Cameron","Off-Campus Operation","Cameron","15834",,,,,"Rural Regional College - Off-Campus"
"Community College","Delaware CC-Pennocks Bridge","Off-Campus Operation","Chester","19390","280 Pennocks Bridge Road, West Grove, PA 19390","39.79914485","-75.87177295","POINT (-75.87177295 39.79914485)","Community College - Off-Campus"
"Community College","Butler CC-Lindenpointe","Off-Campus Operation","Mercer","16148","3182 Innovation Way, Hermitage, PA 16148","41.216551","-80.4494246","POINT (-80.4494246 41.216551)","Community College - Off-Campus"
"State-Related Commonwealth University","Penn State Greater Allegheny","Branch Campus","Allegheny","15132","4000 University Dr, McKeesport, PA 15132","40.347373","-79.82559","POINT (-79.82559 40.347373)","State-Related Commonwealth University - Branch Campus"
"State-Related Commonwealth University","Temple University","Main Campus Location","Philadelphia","19122","1801 North Broad Street, Philadelphia, PA 19122","39.981188","-75.1562828","POINT (-75.1562828 39.981188)","State-Related Commonwealth University - Main Campus"
"Private College/University","Grove City College","Main Campus Location","Mercer","16127","100 Campus Dr, Grove City, PA 16127","41.1553489","-80.0787486","POINT (-80.0787486 41.1553489)","Private College/University - Main Campus"
"Private College/University","Franklin and Marshall College","Main Campus Location","Lancaster","17603","637 College Ave, Lancaster, PA 17603","40.0470216","-76.3183243","POINT (-76.3183243 40.0470216)","Private College/University - Main Campus"
"Private College/University","Pennsylvania College of Art & Design","Main Campus Location","Lancaster","17603","204 N Prince St, Lancaster, PA 17603","40.0410869","-76.3084923","POINT (-76.3084923 40.0410869)","Private College/University - Main Campus"
"PASSHE","Kutztown University of PA","Main Campus Location","Berks","19530","15200 Kutztown Rd, Kutztown, PA 19530","40.51744959","-75.7779715","POINT (-75.7779715 40.51744959)","PASSHE - Main Campus"
"Community College","Luzerne County Community College","Main Campus Location","Luzerne","18634","521 Trailblazer Drive, Nanticoke, PA 18634","41.194325","-75.990987","POINT (-75.990987 41.194325)","Community College - Main Campus"
"Community College","Westmoreland CC-Murrysville","Off-Campus Operation","Westmoreland","15632","6707 Mellon Road Export, PA 15632","40.396174","-79.616088","POINT (-79.616088 40.396174)","Community College - Off-Campus"
"Private College/University","Moravian University","Main Campus Location","Northampton","18018","1200 Main St, Bethlehem, PA 18018","40.63031","-75.381502","POINT (-75.381502 40.63031)","Private College/University - Main Campus"
"PASSHE","Indiana University of Pennsylvania - Main","Main Campus Location","Indiana","15705","1011 South Drive, Indiana, PA 15705","40.6168865","-79.1581558","POINT (-79.1581558 40.6168865)","PASSHE - Main Campus"
